City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Nikolskoye,RU,2022-09-26 03:31:38,59.7035,30.7861,46.29,96,99,2.24
215,Kashi,CN,2022-09-26 03:31:38,39.4547,75.9797,69.01,40,0,2.24
216,Lucapa,AO,2022-09-26 03:31:39,-8.4192,20.7447,66.94,80,100,1.5
217,Petauke,ZM,2022-09-26 03:31:39,-14.2426,31.3253,65.8,50,6,4.94
218,Namatanai,PG,2022-09-26 03:31:40,-3.6667,152.4333,85.14,65,9,6.6
219,Imeni Poliny Osipenko,RU,2022-09-26 03:31:40,52.4201,136.4853,59.81,73,78,13.38
220,Plettenberg Bay,ZA,2022-09-26 03:32:40,-34.0527,23.3716,58.77,84,100,2.08
221,Mersing,MY,2022-09-26 03:32:41,2.4312,103.8405,87.71,74,40,5.75
222,Hobyo,SO,2022-09-26 03:32:41,5.3505,48.5268,77.41,81,26,14.27
223,Jiaozuo,CN,2022-09-26 03:32:42,35.2397,113.2331,82.8,22,69,5.5
224,Tuatapere,NZ,2022-09-26 03:32:42,-46.1333,167.6833,60.1,65,85,2.35
225,Camacha,PT,2022-09-26 03:32:42,33.0833,-16.3333,67.42,64,20,13.8
226,Barberton,ZA,2022-09-26 03:32:43,-25.7884,31.0532,62.65,47,0,3.65
227,Bara,NG,2022-09-26 03:32:43,10.3744,10.7288,74.1,88,93,5.66
228,Arraial Do Cabo,BR,2022-09-26 03:32:43,-22.9661,-42.0278,68.13,84,68,20.2
229,Kibala,TD,2022-09-26 03:32:44,9.1104,18.3463,72.36,94,100,3.27
230,Acapulco,MX,2022-09-26 03:32:44,16.8634,-99.8901,80.42,83,100,6.91
231,Diu,IN,2022-09-26 03:32:44,20.7141,70.9822,80.47,71,59,4.0
232,Baykit,RU,2022-09-26 03:32:45,61.67,96.37,34.25,67,100,2.68
233,Khani,GE,2022-09-26 03:32:45,41.9563,42.9566,42.37,61,0,5.79
234,Vershino-Darasunskiy,RU,2022-09-26 03:32:45,52.35,115.5167,43.12,45,65,1.74
235,Tuy Hoa,VN,2022-09-26 03:29:53,13.0833,109.3,82.71,76,100,7.96
236,San Cristobal,VE,2022-09-26 03:32:46,7.7669,-72.225,69.98,93,42,1.72
237,Cartagena Del Chaira,CO,2022-09-26 03:32:46,1.3349,-74.8429,74.05,79,99,2.01
238,Moranbah,AU,2022-09-26 03:32:47,-22.0016,148.0466,87.6,32,6,4.36
239,Upernavik,GL,2022-09-26 03:32:47,72.7868,-56.1549,33.19,62,99,6.29
240,Rudnichnyy,RU,2022-09-26 03:32:47,59.617,52.4703,37.04,82,100,14.38
241,Ust-Maya,RU,2022-09-26 03:32:48,60.4167,134.5333,37.92,98,100,5.01
242,Dezful,IR,2022-09-26 03:32:48,32.3811,48.4058,84.07,22,0,2.71
243,Devils Lake,US,2022-09-26 03:32:49,48.1128,-98.8651,50.95,64,0,8.05
244,Alberdi,AR,2022-09-26 03:32:49,-32.8899,-60.6906,61.03,55,0,3.44
245,Waddan,LY,2022-09-26 03:32:49,29.1614,16.139,75.04,39,0,6.96
246,Andradina,BR,2022-09-26 03:32:43,-20.8961,-51.3794,74.35,39,63,4.23
247,Tongren,CN,2022-09-26 03:32:50,27.7172,109.1853,85.91,45,62,2.33
248,Fundata,RO,2022-09-26 03:32:50,45.4367,25.2751,40.51,78,96,5.23
249,Sitka,US,2022-09-26 03:32:51,57.0531,-135.33,55.29,94,100,0.0
250,Waitati,NZ,2022-09-26 03:32:51,-45.75,170.5667,54.81,78,100,7.23
251,Gua Musang,MY,2022-09-26 03:32:51,4.8823,101.9644,89.56,55,90,2.42
252,Gushikawa,JP,2022-09-26 03:32:52,26.3544,127.8686,89.19,72,75,11.5
253,Urubicha,BO,2022-09-26 03:32:52,-15.3833,-62.95,76.87,52,40,1.77
254,Forbes,AU,2022-09-26 03:32:52,-33.3833,148.0167,63.95,67,99,4.94
255,Coos Bay,US,2022-09-26 03:32:53,43.3665,-124.2179,61.0,97,100,6.91
256,Saurimo,AO,2022-09-26 03:32:53,-9.6608,20.3916,64.74,76,99,3.0
257,Hofn,IS,2022-09-26 03:32:53,64.2539,-15.2082,40.82,51,0,20.98
258,Katobu,ID,2022-09-26 03:32:54,-4.9408,122.5276,90.57,45,35,1.72
259,Andenes,NO,2022-09-26 03:32:54,69.3143,16.1194,51.78,76,7,21.85
260,Beysehir,TR,2022-09-26 03:32:55,37.6773,31.7246,54.5,32,0,3.24
261,Cajazeiras,BR,2022-09-26 03:32:55,-6.8903,-38.5553,73.8,67,0,5.32
262,Te Anau,NZ,2022-09-26 03:32:55,-45.4167,167.7167,57.49,67,92,4.54
263,Takoradi,GH,2022-09-26 03:32:56,4.8845,-1.7554,74.17,93,24,7.29
264,Ambon,ID,2022-09-26 03:33:56,-3.6954,128.1814,84.34,79,40,4.61
265,Lodja,CD,2022-09-26 03:33:57,-3.4833,23.4333,67.51,93,92,1.54
266,Sangin,AF,2022-09-26 03:33:57,32.0728,64.8359,80.22,6,0,4.45
267,Tandil,AR,2022-09-26 03:33:57,-37.3217,-59.1332,49.68,80,100,5.44
268,Taman,RU,2022-09-26 03:33:58,45.2117,36.7161,64.56,64,46,10.58
269,Tonila,MX,2022-09-26 03:33:58,19.4336,-103.5166,65.28,95,18,2.39
270,Otorohanga,NZ,2022-09-26 03:33:58,-38.1833,175.2,60.19,57,73,7.36
271,Souillac,MU,2022-09-26 03:33:59,-20.5167,57.5167,70.18,88,40,16.11
272,Katsuura,JP,2022-09-26 03:33:59,35.1333,140.3,77.61,66,3,8.57
273,Haapiti,PF,2022-09-26 03:33:59,-17.5667,-149.8667,82.13,75,3,19.8
274,Clyde River,CA,2022-09-26 03:34:00,70.4692,-68.5914,32.23,93,0,0.0
275,Broome,US,2022-09-26 03:34:00,42.2506,-75.833,58.01,87,0,5.75
276,Russell,US,2022-09-26 03:34:00,32.3502,-85.1999,74.8,100,0,0.0
277,Kalabo,ZM,2022-09-26 03:34:01,-14.97,22.6814,65.7,32,87,4.97
278,Port Macquarie,AU,2022-09-26 03:31:26,-31.4333,152.9167,68.9,67,94,8.14
279,Selma,US,2022-09-26 03:31:27,36.5708,-119.6121,86.34,39,40,0.0
